"Accession","Organism","Genome assembly","Donor sex","Donor age","File download url"
"GSM2333678","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2333nnn/GSM2333678/suppl/GSM2333678_RBPJ_CST_peaks.bed.gz"
"GSM2333677","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2333nnn/GSM2333677/suppl/GSM2333677_Notch1_CST_peaks.bed.gz"
"GSM2333684","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2333nnn/GSM2333684/suppl/GSM2333684_H3K27ac_N1HA1h_peaks.bed.gz"
"GSM2333683","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2333nnn/GSM2333683/suppl/GSM2333683_H3K27ac_S1HA1h_peaks.bed.gz"
"GSM2333682","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2333nnn/GSM2333682/suppl/GSM2333682_H3K27ac_S1HA0h_peaks.bed.gz"
"GSM2333681","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2333nnn/GSM2333681/suppl/GSM2333681_RelA_N1DSG1h_peaks.bed.gz"
"GSM2333680","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2333nnn/GSM2333680/suppl/GSM2333680_RelA_S1DSG1h_peaks.bed.gz"
"GSM2333679","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2333nnn/GSM2333679/suppl/GSM2333679_RelA_S1DSG0h_peaks.bed.gz"
"GSM2988427","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2988nnn/GSM2988427/suppl/GSM2988427_H3K27me3_ChOR-seq_T0_peaks_biotin_rep1.bed.gz"
"GSM2988424","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2988nnn/GSM2988424/suppl/GSM2988424_Replicated_regions_MidS_biotin_rep2.bed.gz"
"GSM2988423","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2988nnn/GSM2988423/suppl/GSM2988423_Replicated_regions_MidS_biotin_rep1.bed.gz"
"GSM2988422","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2988nnn/GSM2988422/suppl/GSM2988422_H3K27me3_Parental_peaks_biotin_rep2.bed.gz"
"GSM2988421","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2988nnn/GSM2988421/suppl/GSM2988421_H3K27me3_Parental_peaks_biotin_rep1.bed.gz"
"GSM3227903","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227903/suppl/GSM3227903_Replicated_regions_earlyS_rep2.bed.gz"
"GSM3227902","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227902/suppl/GSM3227902_Replicated_regions_earlyS_rep1.bed.gz"
"GSM3227897","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227897/suppl/GSM3227897_H3K79me3_Parental_peaks_rep2.bed.gz"
"GSM3227896","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227896/suppl/GSM3227896_H3K79me3_Parental_peaks_rep1.bed.gz"
"GSM3227893","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227893/suppl/GSM3227893_H3K36me3_Parental_peaks_rep2.bed.gz"
"GSM3227892","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227892/suppl/GSM3227892_H3K36me3_Parental_peaks_rep1.bed.gz"
"GSM3227885","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227885/suppl/GSM3227885_H3K4me3_ChOR-seq_T0_peaks_rep2.bed.gz"
"GSM3227884","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227884/suppl/GSM3227884_H3K4me3_ChOR-seq_T0_peaks_rep1.bed.gz"
"GSM3227883","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227883/suppl/GSM3227883_H3K4me3_Parental_peaks_rep2.bed.gz"
"GSM3227882","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3227nnn/GSM3227882/suppl/GSM3227882_H3K4me3_Parental_peaks_rep1.bed.gz"
"GSM2988409","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2988nnn/GSM2988409/suppl/GSM2988409_Replicated_regions_MidS_rep2.bed.gz"
"GSM2988399","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2988nnn/GSM2988399/suppl/GSM2988399_H3K27me3_ChOR-seq_T0_peaks_rep2.bed.gz"
"GSM2988398","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2988nnn/GSM2988398/suppl/GSM2988398_H3K27me3_Parental_peaks_rep2.bed.gz"
